Day,Cause,id
6 sept 2024,HAZARD,19
6 sept 2024,ACCIDENT,1
7 sept 2024,HAZARD,4
8 sept 2024,HAZARD,2
8 sept 2024,ACCIDENT,1
9 sept 2024,HAZARD,16
10 sept 2024,HAZARD,11
10 sept 2024,ACCIDENT,2
11 sept 2024,HAZARD,12
12 sept 2024,HAZARD,10
13 sept 2024,HAZARD,32
13 sept 2024,ACCIDENT,3
14 sept 2024,HAZARD,14
16 sept 2024,HAZARD,3
17 sept 2024,ACCIDENT,2
17 sept 2024,HAZARD,7
18 sept 2024,HAZARD,32
19 sept 2024,HAZARD,8
19 sept 2024,ACCIDENT,3
20 sept 2024,HAZARD,18
21 sept 2024,HAZARD,20
21 sept 2024,ACCIDENT,5
22 sept 2024,HAZARD,1
23 sept 2024,HAZARD,8
23 sept 2024,ACCIDENT,1
24 sept 2024,HAZARD,15
25 sept 2024,HAZARD,5
26 sept 2024,HAZARD,38
26 sept 2024,ACCIDENT,4
27 sept 2024,ACCIDENT,1
27 sept 2024,HAZARD,12
28 sept 2024,HAZARD,11
28 sept 2024,ACCIDENT,4
29 sept 2024,HAZARD,2
30 sept 2024,HAZARD,10
1 oct 2024,HAZARD,1
2 oct 2024,HAZARD,23
2 oct 2024,ACCIDENT,1
3 oct 2024,ACCIDENT,1
3 oct 2024,HAZARD,16
4 oct 2024,HAZARD,16
5 oct 2024,HAZARD,4
5 oct 2024,ACCIDENT,1
6 oct 2024,HAZARD,1
7 oct 2024,ACCIDENT,1
7 oct 2024,HAZARD,21
8 oct 2024,HAZARD,26
9 oct 2024,HAZARD,31
10 oct 2024,HAZARD,8
11 oct 2024,HAZARD,16
11 oct 2024,ACCIDENT,4
12 oct 2024,HAZARD,21
13 oct 2024,HAZARD,4
14 oct 2024,HAZARD,16
14 oct 2024,ACCIDENT,1
15 oct 2024,HAZARD,9
16 oct 2024,ACCIDENT,7
16 oct 2024,HAZARD,8
17 oct 2024,HAZARD,10
18 oct 2024,ACCIDENT,3
18 oct 2024,HAZARD,11
19 oct 2024,HAZARD,7
21 oct 2024,HAZARD,22
22 oct 2024,ACCIDENT,2
22 oct 2024,HAZARD,4
23 oct 2024,HAZARD,2
24 oct 2024,ACCIDENT,1
24 oct 2024,HAZARD,20
25 oct 2024,HAZARD,5
26 oct 2024,HAZARD,1
27 oct 2024,HAZARD,1
28 oct 2024,HAZARD,12
28 oct 2024,ACCIDENT,1
29 oct 2024,HAZARD,11
30 oct 2024,HAZARD,7
31 oct 2024,HAZARD,10
1 nov 2024,ACCIDENT,6
1 nov 2024,HAZARD,13
2 nov 2024,HAZARD,8
4 nov 2024,ACCIDENT,1
4 nov 2024,HAZARD,1
5 nov 2024,HAZARD,4
6 nov 2024,HAZARD,2
6 nov 2024,ACCIDENT,2
7 nov 2024,ACCIDENT,1
7 nov 2024,HAZARD,2
8 nov 2024,HAZARD,4
8 nov 2024,ACCIDENT,1
9 nov 2024,HAZARD,2
11 nov 2024,ACCIDENT,3
11 nov 2024,HAZARD,4
