,Date,Country,City,Street,Latitude,Longitude
40735,30 abr 2025,MX,Zapopan,Av. Central Guillermo Gonzalez Camarena,20.728105,-103.430993
40736,30 abr 2025,MX,Zapopan,Av. Dr. Ángel Leaño,20.749506,-103.415887
40737,30 abr 2025,MX,Zapopan,Av. Ignacio L. Vallarta,20.690209,-103.448681
40738,30 abr 2025,MX,Zapopan,Periférico Pte. Manuel Gómez Morín,20.633733,-103.437017
40739,30 abr 2025,MX,Zapopan,Av. Dr. Ángel Leaño,20.748501,-103.41593
40740,30 abr 2025,MX,Zapopan,Periférico Pte. Manuel Gómez Morín,20.712134,-103.435625
40741,30 abr 2025,MX,Zapopan,Periférico Pte. Manuel Gómez Morín,20.708922,-103.442958
40742,30 abr 2025,MX,Guadalajara,Av. Chapalita,20.658859,-103.396814
40743,30 abr 2025,MX,Zapopan,Av. Ignacio L. Vallarta,20.689768,-103.448228
40744,30 abr 2025,MX,Zapopan,Av. Ignacio L. Vallarta,20.678292,-103.41848
40745,30 abr 2025,MX,Zapopan,Av. Ignacio L. Vallarta,20.676381,-103.409529
40746,30 abr 2025,MX,Zapopan,Av. Ignacio L. Vallarta,20.684688,-103.441734
40747,30 abr 2025,MX,Zapopan,Av. Circuito del Bosque,20.717474,-103.477415
40748,30 abr 2025,MX,Tlaquepaque,Av. Conchita,20.634058,-103.399137
40749,30 abr 2025,MX,Zapopan,Periférico Pte. Manuel Gómez Morín,20.691057,-103.45544
40750,30 abr 2025,MX,Zapopan,Av. Ignacio L. Vallarta,20.683513,-103.440232
40751,30 abr 2025,MX,Zapopan,Av. Ignacio L. Vallarta,20.679254,-103.422817
40752,30 abr 2025,MX,Zapopan,Av. Ignacio L. Vallarta,20.687032,-103.444737
40753,30 abr 2025,MX,Zapopan,Av. Ignacio L. Vallarta,20.679506,-103.42404
40754,30 abr 2025,MX,Zapopan,Periférico Pte. Manuel Gómez Morín,20.661221,-103.448648
40755,30 abr 2025,MX,Zapopan,Periférico Pte. Manuel Gómez Morín,20.71589,-103.428873
40756,30 abr 2025,MX,Zapopan,Av. Ignacio L. Vallarta,20.677304,-103.41382
40757,30 abr 2025,MX,Zapopan,Av. El Colli,20.648342,-103.441692
40758,30 abr 2025,MX,Zapopan,Av. Ignacio L. Vallarta,20.692285,-103.451417
40759,30 abr 2025,MX,Zapopan,Av. Ignacio L. Vallarta,20.689631,-103.448054
